period, GHA – Exports of goods and services (US billions), NGA – Exports of goods and services (US billions), GHA – EDS Total (US billions), GHA – EDS Variable Rate (US billions), NGA – EDS Total (US billions), NGA – EDS Variable Rate (US billions)
2014, 0.83, 1.67, 2.452262468, 0.92884, 1.293235, N/A
2015, 1.11, 0.795, 2.524343327, 1.065832, 1.444725, N/A
2016, 0.942, 0.471, 2.339478634, 1.010881, 1.642044, N/A
2017, 2.38, 0.721, 2.121031657, 0.854578, 1.930983, N/A
2018, 2.03, 1.04, 1.919606072, 0.745978, 2.485077, N/A
2019, 2.81, 1.67, 1.96294288, 0.853135, 3.17512, N/A
2020, 1.89, 1.77, 1.907932988, 0.733945, 3.403988802, N/A
2021, 2.2, 1.85, 1.859536186, 0.674300412, 3.634626543, N/A
2022, 21.38, 0.835, 2.031683944, 0.6572938808, 4.291730985, N/A
2023, N/A, N/A, 2.059638935, 0.63653774, 5.164932943, 0.0
2024, N/A, N/A, 2.003819254, 0.6448534743, 5.319396325, 0.2547372411
