period, GHA – Exports of goods and services (US billions), NGA – Exports of goods and services (US billions), GHA – EDS Total (US billions), GHA – EDS Variable Rate (US billions), NGA – EDS Total (US billions), NGA – EDS Variable Rate (US billions), CHN - Loan Prime Rate (Closing %), CHN - 14 Day RRR (Closing %)
2014, 0.83, 1.67, 2.452262468, 0.92884, 1.293235, 0.0, 4.78, 2.957
2015, 1.11, 0.795, 2.524343327, 1.065832, 1.444725, 0.0, 4.63, 2.85
2016, 0.942, 0.471, 2.339478634, 1.010881, 1.642044, 0.0, 4.3, 2.4
2017, 2.38, 0.721, 2.121031657, 0.854578, 1.930983, 0.0, 4.3, 2.6
2018, 2.03, 1.04, 1.919606072, 0.745978, 2.485077, 0.0, 4.31, 2.7
2019, 2.81, 1.67, 1.96294288, 0.853135, 3.17512, 0.0, 4.15, 2.7
2020, 1.945, 1.77, 1.907932988, 0.733945, 3.403988802, 0.0, 3.85, 2.35
2021, 1.39, 1.85, 1.859536186, 0.674300412, 3.634626543, 0.0, 3.85, 2.35
2022, 2.2, 0.834, 2.031683944, 0.6572938808, 4.291730985, 0.0, 3.65, 2.15
2023, 1.38, 1.61, 2.059638935, 0.63653774, 5.164932943, 0.0, 3.45, 1.95
2024, 1.144, 2.03, 2.003819254, 0.6448534743, 5.319396325, 0.2547372411, 3.1, 1.65
